ID,date_time,PlotID,SampleID,Location,Cohort1,Time,Plot,Rep,Stype,Svariety1,Bacteria,Weight,Wash_Vol,V1,CFU1,V2,CFU2,V3,CFU3,Enrich1,Presence1
121,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R1,NY,1,24,1,1,Spinach,Old,EC,71.7,645.3,100,0,10,0,,,Y,P
122,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R2,NY,1,24,1,2,Spinach,Old,EC,45.6,410.4,100,0,10,0,,,Y,P
123,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R3,NY,1,24,1,3,Spinach,Old,EC,65.2,586.8,100,225,10,25,,,N,
124,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R4,NY,1,24,1,4,Spinach,Old,EC,83.6,752.4,100,121,10,17,,,N,
125,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R5,NY,1,24,1,5,Spinach,Old,EC,92.1,828.9,100,0,10,0,,,Y,P
126,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R1,NY,1,24,2,1,Spinach,Old,EC,61.1,549.9,100,49,10,6,,,N,
127,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R2,NY,1,24,2,2,Spinach,Old,EC,68.7,618.3,100,258,10,26,,,N,
128,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R3,NY,1,24,2,3,Spinach,Old,EC,69.5,625.5,100,22,10,2,,,N,
129,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R4,NY,1,24,2,4,Spinach,Old,EC,61.9,557.1,100,0,10,0,,,Y,P
130,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R5,NY,1,24,2,5,Spinach,Old,EC,93.6,842.4,100,577,10,79,,,N,
131,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R1,NY,1,24,3,1,Spinach,New,EC,43.3,389.7,100,0,10,0,,,Y,N
132,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R2,NY,1,24,3,2,Spinach,New,EC,38.4,345.6,100,23,10,1,,,N,
133,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R3,NY,1,24,3,3,Spinach,New,EC,43.9,395.1,100,0,10,0,,,Y,N
134,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R4,NY,1,24,3,4,Spinach,New,EC,44.9,404.1,100,12,10,1,,,N,
135,7/17/2018 9:00,NY-C1-S3,NY-C1-24-S3-R5,NY,1,24,3,5,Spinach,New,EC,42,378,100,30,10,10,,,N,
136,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R1,NY,1,24,4,1,Spinach,New,EC,41.5,373.5,100,281,10,47,,,N,
137,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R2,NY,1,24,4,2,Spinach,New,EC,47.2,424.8,100,2,10,0,,,N,
138,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R3,NY,1,24,4,3,Spinach,New,EC,40.3,362.7,100,0,10,0,,,Y,P
139,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R4,NY,1,24,4,4,Spinach,New,EC,38.8,349.2,100,1,10,0,,,N,
140,7/17/2018 9:00,NY-C1-S4,NY-C1-24-S4-R5,NY,1,24,4,5,Spinach,New,EC,35.9,323.1,100,0,10,0,,,Y,P
141,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R1,NY,1,24,1,1,Spinach,Old,Sal,71.7,645.3,100,0,10,0,,,Y,P
142,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R2,NY,1,24,1,2,Spinach,Old,Sal,45.6,410.4,100,0,10,0,,,Y,P
143,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R3,NY,1,24,1,3,Spinach,Old,Sal,65.2,586.8,100,4,10,0,,,N,
144,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R4,NY,1,24,1,4,Spinach,Old,Sal,83.6,752.4,100,0,10,0,,,Y,P
145,7/17/2018 9:00,NY-C1-S1,NY-C1-24-S1-R5,NY,1,24,1,5,Spinach,Old,Sal,92.1,828.9,100,9,10,0,,,N,
146,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R1,NY,1,24,2,1,Spinach,Old,Sal,61.1,549.9,100,TMTC,10,5,,,N,
147,7/17/2018 9:00,NY-C1-S2,NY-C1-24-S2-R2,NY,1,24,2,2,Spinach,Old,Sal,68.7,618.3,100,17,10,1,,,N,
